,data_points_count,price_close,sma_status,sma_20,sma_20_ratio,sma_20_slope,sma_20_slope_status,sma_50,sma_50_ratio,sma_50_slope,sma_50_slope_status,sma_200,sma_200_ratio,rsi_7,rsi_7_scale,rsi_13,rsi_13_scale,bb_lband,bb_hband,bb_width,bb_width_pct,to_ccy,high_pct,low_pct,high_low_ratio,btc_rsq,eth_rsq,close_time,exch_volume
AIONUSDT,200.0,0.08359999999999999376054660160662024281919002532958984375,1.0,0.08440500000000002167599433278155629523098468780517578125,0.9904626503169240245398235472,-7.5e-05,-1.0,0.0859619999999999551132390251950710080564022064208984375,0.9725227426071989648209963888,-0.000128,-1.0,0.08355649999999999189004284971815650351345539093017578125,1.000520605817620434971855484,33.1677164786,2.0,37.4542292507,2.0,0.0830507844,0.0857592156,3.2088517034,0.2027799797,USDT,0.7999999999999999734396405592,1.128205128205128133095672128,1.410256410256410213190736610,0.6907831441,0.6915467131,"09/30/2020, 23:59:59",162944.18
ALGOBNB,200.0,0.011830000000000000237587727269783499650657176971435546875,-1.0,0.0117154999999999932802641211537775234319269657135009765625,1.009773377149930179932407427,9e-06,1.0,0.0118203999999999982695175759772610035724937915802001953125,1.000812155257013465658993916,-8.4e-06,-1.0,0.012234799999999997066613133256396395154297351837158203125,0.9669140484519569648805618620,53.801491227,3.0,52.0849949659,3.0,0.0113317045,0.0120992955,6.5519272498,0.6491679742,BNB,0.8504672897196261554035903467,1.036809815950920265918883162,1.219106047326906265117686550,0.1555863432,0.1274957368,"09/30/2020, 23:59:59",9257.0
ALGOBTC,200.0,0.00003219000000000000181500647844501372674130834639072418212890625,1.0,0.0000313240000000000070570944921133360594467376358807086944580078125,1.027646533009832542549093044,7.35e-08,1.0,0.000031125600000000039585361377714178843234549276530742645263671875,1.034196931143494772018763443,2.3e-08,1.0,0.000029553049999999996509669752953186616650782525539398193359375,1.089227677007957067604554705,63.1184909799,4.0,60.3140151072,3.0,2.9734e-05,3.2914e-05,10.1521930633,0.7723207965,BTC,0.9754545454545454347580182019,1.246707978311386586415979496,1.278079008520526815355522061,0.7781060349,0.8642217743,"09/30/2020, 23:59:59",221469.0
ALGOUSDT,200.0,0.3468999999999999861444166526780463755130767822265625,1.0,0.33621000000000000884625706021324731409549713134765625,1.031795603938014862784829442,0.00084,1.0,0.33424200000000048316195488951052539050579071044921875,1.037870764296526123840658123,0.000178,1.0,0.315168499999999962568608680157922208309173583984375,1.100681064256104361141549004,63.7077938371,4.0,60.18798325,3.0,0.317921654,0.354498346,10.8791207971,0.7922626243,USDT,0.9747119977521775550945673524,1.319011406844106353287793091,1.353231939163498017160358031,0.8574783781,0.9180984674,"09/30/2020, 23:59:59",366370.83
AMBBTC,200.0,0.0000016700000000000001044238480407688740569938090629875659942626953125,-1.0,0.00000171399999999999875141521409049882862518643378280103206634521484375,0.9743290548424745163105498172,-4.5e-09,-1.0,0.000001731600000000000285442481283426641169853610335849225521087646484375,0.9644259644259643272901985105,-2e-09,-1.0,0.00000173344999999999989503539528368225575150063377805054187774658203125,0.9633966944532580723680528767,31.6380198721,2.0,37.3460798634,2.0,1.664e-06,1.764e-06,5.8296364046,0.059647577,BTC,0.8882978723404255876344387270,1.091503267973856304133516448,1.228758169934640552727676598,0.511601721,0.5679221631,"09/30/2020, 23:59:59",184968.0
ANKRBNB,200.0,0.0002643999999999999757534230315769718799856491386890411376953125,1.0,0.0002710799999999998779152965422412080442882142961025238037109375,0.9753578279474697315541324397,-3.7e-07,-1.0,0.0002647640000000001775891378397176367798238061368465423583984375,0.9986251907358998897449667771,4.02e-07,1.0,0.0002477124999999999292732422162544025923125445842742919921875,1.067366402583640515697786965,39.1161037434,3.0,44.4801682805,3.0,0.0002586822,0.0002834778,9.1469961054,0.2305982011,BNB,0.8757866843325603124325862044,1.343495934959349380743922297,1.534044715447154470424968012,0.7551472006,0.7728175039,"09/30/2020, 23:59:59",38106.0
ANKRBTC,200.0,7.199999999999999885944641959956147303500983980484306812286376953125E-7,1.0,7.25499999999999448891470528455460708983082440681755542755126953125E-7,0.9924190213645768925224695793,5e-10,1.0,6.976000000000002115307386717224513716928413487039506435394287109375E-7,1.032110091743118936742336725,2e-09,1.0,6.0215000000000024025516819070613649955703294835984706878662109375E-7,1.195715353317279251544749442,46.6812027396,3.0,50.3600147682,3.0,6.991e-07,7.519e-07,7.2883826693,0.3959854473,BTC,0.9230769230769230038309833484,1.636363636363636254257109084,1.772727272727272749148578183,0.7594201276,0.8143229227,"09/30/2020, 23:59:59",953049.0
ANKRUSDT,200.0,0.007805000000000000305588887528074337751604616641998291015625,1.0,0.00777314999999999776958414798855301341973245143890380859375,1.004097437975595806737774281,4.45e-06,1.0,0.007482360000000001266917681874701884225942194461822509765625,1.043120085106837813743472299,2.098e-05,1.0,0.0064195849999999950175055829504344728775322437286376953125,1.215810679350768992599803505,56.533852599,3.0,55.3092579363,3.0,0.0075450314,0.0080012686,5.869399958,0.5698101681,USDT,0.9378755106945446695754685376,1.749215598386373962240324691,1.865082922456297595543428006,0.7947636987,0.8412984518,"09/30/2020, 23:59:59",2747292.0
ANTBTC,200.0,0.0003409999999999999945217432628652431958471424877643585205078125,1.0,0.000332435000000000173935033043193243429413996636867523193359375,1.025764435152736072030238513,4.35e-07,1.0,0.0003326960000000003261043379776396022862172685563564300537109375,1.024959722990356542543136507,4.56e-07,1.0,0.0003222420000000000904309682692172600582125596702098846435546875,1.058210909813121501314869121,70.2972776534,4.0,61.5817503839,3.0,0.0003249921,0.0003398779,4.4778214165,1.0753788005,BTC,0.9551820728291316267148692726,1.161048689138576826725753879,1.215526046986721226980230724,0.5267675816,0.5691400942,"09/30/2020, 23:59:59",3186.66
ANTUSDT,200.0,3.67530000000000001136868377216160297393798828125,1.0,3.565555000000001140136873800656758248805999755859375,1.030779219504396604775213639,0.00532,1.0,3.571589999999998266133616198203526437282562255859375,1.029037487505565251213658631,0.00423,1.0,3.4354895000000009730456440593115985393524169921875,1.069803880931668971889064843,70.2271410561,4.0,61.9099976254,4.0,3.4731466135,3.6579633865,5.1833942555,1.0938043295,USDT,0.9573836255177263848640348291,1.220624377283294541324045310,1.274958485552972450042667176,0.7070853158,0.7311762228,"09/30/2020, 23:59:59",16825.65
